"estimand","chains","rhat","ess_bulk","ess_tail","mcse_mean","mcse_over_sd","pass","DGP","replication","sentinel"
"training_t0050_midpoint",1,NA,715.696480928059,1511.96918259908,0.00333277842184215,0.0373637312972392,TRUE,"S03",89,FALSE
"training_t0050_width",1,NA,789.666217645897,1494.78513201358,0.00632080904410676,0.0354801118358498,TRUE,"S03",89,FALSE
"training_t0100_lower",1,NA,625.528892658324,1492.21874521285,0.00556208580940925,0.0411547027212344,TRUE,"S03",89,FALSE
"training_t0100_upper",1,NA,636.353326807062,1678.60487255604,0.00426711424233337,0.0396330547211234,TRUE,"S03",89,FALSE
"training_t0100_midpoint",1,NA,707.198453083415,1345.67925010207,0.00325790072918705,0.03771000736777,TRUE,"S03",89,FALSE
"training_t0100_width",1,NA,644.183168614362,1448.40598913709,0.00680175389879418,0.0393620433254061,TRUE,"S03",89,FALSE
"training_t0150_lower",1,NA,967.756268540828,1857.43344853622,0.00393440728017666,0.0319943651996404,TRUE,"S03",89,FALSE
"training_t0150_upper",1,NA,862.141267597885,1163.14153805169,0.00469645675137558,0.0345253316367822,TRUE,"S03",89,FALSE
"training_t0150_midpoint",1,NA,971.755344263416,1643.97301941839,0.00290573011124133,0.0322188300364622,TRUE,"S03",89,FALSE
"training_t0150_width",1,NA,847.002436512631,1391.27646756565,0.00642092487256726,0.0344608435458099,TRUE,"S03",89,FALSE
"training_t0200_lower",1,NA,1014.7183248058,1905.07184353097,0.00503808063088676,0.0313918914011578,TRUE,"S03",89,FALSE
"training_t0200_upper",1,NA,1400.00740419709,1883.84300805221,0.00491874648506436,0.0272231275029235,TRUE,"S03",89,FALSE
"training_t0200_midpoint",1,NA,1197.5002105402,2384.86532761134,0.00340823279756363,0.0288183831543959,TRUE,"S03",89,FALSE
"training_t0200_width",1,NA,1172.71372012366,1893.0345595473,0.00724891549379447,0.029383953901418,TRUE,"S03",89,FALSE
"terminal_lower",1,NA,1014.7183248058,1905.07184353097,0.00503808063088676,0.0313918914011578,TRUE,"S03",89,FALSE
"terminal_upper",1,NA,1400.00740419709,1883.84300805221,0.00491874648506436,0.0272231275029235,TRUE,"S03",89,FALSE
